variable,auc_drop
F88.5,0.04571428571428571
F153.5,0.02742857142857147
F150,0.026285714285714357
F87.5,0.02285714285714291
F91,0.02285714285714291
F100.5,0.02285714285714291
F101,0.02285714285714291
F73.5,0.021714285714285797
F119,0.020571428571428574
F126.5,0.020571428571428574
F151.5,0.020571428571428574
F52.5,0.01942857142857146
F146.5,0.01942857142857146
F117,0.01828571428571435
F49.5,0.017142857142857237
F156.5,0.016000000000000014
F67.5,0.014857142857142902
F163,0.014857142857142902
F59.5,0.01371428571428579
F72,0.012571428571428678
F123,0.012571428571428678
F54.5,0.011428571428571566
F93,0.011428571428571566
F114.5,0.011428571428571566
F162.5,0.011428571428571566
F167,0.011428571428571566
F96.5,0.010285714285714342
F116,0.010285714285714342
F166,0.010285714285714342
F68,0.00914285714285712
F84,0.00914285714285712
F109.5,0.00914285714285712
F114,0.00914285714285712
F142.5,0.00914285714285712
F159.5,0.00914285714285712
F170,0.00914285714285712
F51.5,0.008000000000000007
F57,0.008000000000000007
F70,0.008000000000000007
F111,0.008000000000000007
F120,0.008000000000000007
F129.5,0.008000000000000007
F136,0.008000000000000007
F149,0.008000000000000007
F45.5,0.006857142857142784
F47,0.006857142857142784
F61,0.006857142857142784
F76.5,0.006857142857142784
F88,0.006857142857142784
F112.5,0.006857142857142784
F136.5,0.006857142857142784
F147,0.006857142857142784
F167.5,0.006857142857142784
F50,0.005714285714285672
F51,0.005714285714285672
F58,0.005714285714285672
F62,0.005714285714285672
F69,0.005714285714285672
F83,0.005714285714285672
F95.5,0.005714285714285672
F97,0.005714285714285672
F98.5,0.005714285714285672
F102,0.005714285714285672
F134,0.005714285714285672
F143,0.005714285714285672
F58.5,0.00457142857142856
F62.5,0.00457142857142856
F77.5,0.00457142857142856
F81,0.00457142857142856
F82,0.00457142857142856
F100,0.00457142857142856
F107,0.00457142857142856
F122,0.00457142857142856
F137,0.00457142857142856
F154,0.00457142857142856
F157.5,0.00457142857142856
F160,0.00457142857142856
F46.5,0.0034285714285714475
F57.5,0.0034285714285714475
F59,0.0034285714285714475
F64,0.0034285714285714475
F65.5,0.0034285714285714475
F69.5,0.0034285714285714475
F87,0.0034285714285714475
F89.5,0.0034285714285714475
F94,0.0034285714285714475
F102.5,0.0034285714285714475
F108,0.0034285714285714475
F125.5,0.0034285714285714475
F132.5,0.0034285714285714475
F134.5,0.0034285714285714475
F163.5,0.0034285714285714475
F164,0.0034285714285714475
F72.5,0.0022857142857142243
F78,0.0022857142857142243
F78.5,0.0022857142857142243
F79,0.0022857142857142243
F89,0.0022857142857142243
F104.5,0.0022857142857142243
F113.5,0.0022857142857142243
F120.5,0.0022857142857142243
F121.5,0.0022857142857142243
F124.5,0.0022857142857142243
F127.5,0.0022857142857142243
F138,0.0022857142857142243
F148,0.0022857142857142243
F149.5,0.0022857142857142243
F158,0.0022857142857142243
F165.5,0.0022857142857142243
F168,0.0022857142857142243
F50.5,0.0011428571428571122
F55,0.0011428571428571122
F60,0.0011428571428571122
F61.5,0.0011428571428571122
F73,0.0011428571428571122
F74.5,0.0011428571428571122
F81.5,0.0011428571428571122
F84.5,0.0011428571428571122
F86.5,0.0011428571428571122
F92,0.0011428571428571122
F92.5,0.0011428571428571122
F108.5,0.0011428571428571122
F110,0.0011428571428571122
F110.5,0.0011428571428571122
F129,0.0011428571428571122
F145,0.0011428571428571122
F146,0.0011428571428571122
F148.5,0.0011428571428571122
F155,0.0011428571428571122
F161,0.0011428571428571122
F48.5,0
F49,0
F55.5,0
F66,0
F71.5,0
F75,0
F85,0
F91.5,0
F96,0
F99,0
F101.5,0
F107.5,0
F112,0
F113,0
F115,0
F131.5,0
F132,0
F135.5,0
F137.5,0
F140,0
F151,0
F159,0
F169.5,0
F46,-0.0011428571428571122
F48,-0.0011428571428571122
F53,-0.0011428571428571122
F53.5,-0.0011428571428571122
F64.5,-0.0011428571428571122
F68.5,-0.0011428571428571122
F70.5,-0.0011428571428571122
F71,-0.0011428571428571122
F75.5,-0.0011428571428571122
F76,-0.0011428571428571122
F79.5,-0.0011428571428571122
F80,-0.0011428571428571122
F93.5,-0.0011428571428571122
F95,-0.0011428571428571122
F98,-0.0011428571428571122
F117.5,-0.0011428571428571122
F119.5,-0.0011428571428571122
F131,-0.0011428571428571122
F144,-0.0011428571428571122
F152,-0.0011428571428571122
F152.5,-0.0011428571428571122
F153,-0.0011428571428571122
F160.5,-0.0011428571428571122
F161.5,-0.0011428571428571122
F169,-0.0011428571428571122
F54,-0.0022857142857143353
F56.5,-0.0022857142857143353
F60.5,-0.0022857142857143353
F77,-0.0022857142857143353
F83.5,-0.0022857142857143353
F86,-0.0022857142857143353
F99.5,-0.0022857142857143353
F103,-0.0022857142857143353
F104,-0.0022857142857143353
F116.5,-0.0022857142857143353
F118.5,-0.0022857142857143353
F122.5,-0.0022857142857143353
F127,-0.0022857142857143353
F130,-0.0022857142857143353
F133,-0.0022857142857143353
F135,-0.0022857142857143353
F139.5,-0.0022857142857143353
F141,-0.0022857142857143353
F143.5,-0.0022857142857143353
F165,-0.0022857142857143353
F52,-0.0034285714285714475
F66.5,-0.0034285714285714475
F97.5,-0.0034285714285714475
F105,-0.0034285714285714475
F106,-0.0034285714285714475
F106.5,-0.0034285714285714475
F111.5,-0.0034285714285714475
F118,-0.0034285714285714475
F124,-0.0034285714285714475
F130.5,-0.0034285714285714475
F140.5,-0.0034285714285714475
F147.5,-0.0034285714285714475
F150.5,-0.0034285714285714475
F162,-0.0034285714285714475
F56,-0.00457142857142856
F63.5,-0.00457142857142856
F65,-0.00457142857142856
F67,-0.00457142857142856
F82.5,-0.00457142857142856
F105.5,-0.00457142857142856
F109,-0.00457142857142856
F128.5,-0.00457142857142856
F138.5,-0.00457142857142856
F158.5,-0.00457142857142856
F164.5,-0.00457142857142856
F168.5,-0.00457142857142856
F63,-0.005714285714285672
F74,-0.005714285714285672
F80.5,-0.005714285714285672
F94.5,-0.005714285714285672
F121,-0.005714285714285672
F126,-0.005714285714285672
F145.5,-0.005714285714285672
F166.5,-0.005714285714285672
F45,-0.006857142857142895
F47.5,-0.006857142857142895
F133.5,-0.006857142857142895
F144.5,-0.006857142857142895
F154.5,-0.006857142857142895
F85.5,-0.008000000000000007
F125,-0.008000000000000007
F155.5,-0.008000000000000007
F156,-0.008000000000000007
F103.5,-0.00914285714285712
F115.5,-0.00914285714285712
F139,-0.00914285714285712
F141.5,-0.00914285714285712
F157,-0.00914285714285712
F128,-0.011428571428571455
F123.5,-0.012571428571428567
F142,-0.013714285714285679
